Name,PhD,Undergraduate,Subject,Date,Id
David S. Ahn,Stanford University,Emory University,Economics,2004,1
George A. Akerlof,Massachusetts Institute of Technology,Yale University,Economics,1966,2
Robert M. Anderson,Yale University,University of Toronto,Economics,1977,3
Alan J. Auerbach,Harvard University,Yale University,Economics,1978,4
Pranab Bardhan,Cambridge University,Presidency College,Economics,1960,5
Clair Brown University,University of Maryland,Wellesley College,Economics,1973,6
David Card,Princeton University,Queen's University,Economics,1983,7
Roger Craine,University of Maryland,Washington College,Economics,1972,8
Stefano DellaVigna,Harvard University,Bocconi University,Economics,2002,9
J. Bradford Delong,Harvard University,Harvard University,Economics,1987,10
Aaron Edlin,Stanford University,Princeton University,Economics,1993,11
Barry Eichengreen,Yale University,UC Santa Cruz,Economics,1979,12
Haluk I. Ergin,Princeton University,Bogazici University,Economics,2003,13
Benjamin Faber,London School of Economics,London School of Economics,Economics,2013,14
Joseph Farrell,Oxford University,Oxford University,Economics,1981,15
Frederico Finan,UC Berkeley,unknown,Economics,2006,16
Cecile Gaubert,unknown,unknown,Economics,0,17
Richard Gilbert,Stanford University,Cornell University,Economics,1976,18
Yuriy Gorodnichenko,University of Michigan,National University of Kyiv-Mohyla Academy,Economics,2007,19
Pierre-Olivier Gourinchas,Massachusetts Institute of Technology,"Ecole Polytechnique, Ecole des Hautes Etudes en Sciences Sociales, Ecole Nationale des Ponts et Chaussees",Economics,1996,20
Bryan S. Graham,Harvard University,Tufts University,Economics,2005,21
Bronwyn H. Hall,Stanford University,Wellesley College,Economics,1988,22
Ben Handel,Northwestern University,Princeton University,Economics,2010,23
Benjamin Hermalin,Massachusetts Institute of Technology,Princeton University,Economics,1988,24
Hilary Hoynes,Stanford University,Colby College,Economics,1992,25
Michael Jansson,University of Aarhus,University of Aarhus,Economics,2000,26
Shachar Kariv,NYU,Tel Aviv University,Economics,2003,27
Michael Katz,Oxford University,unknown,Economics,0,28
Supreet Kaur,Harvard University,Columbia University,Economics,2012,29
Kei Kawai ,Northwestern University,University of Tokyo,Economics,2011,30
Theodore Keeler,Massachusetts Institute of Technology,Reed College,Economics,1971,31
Patrick Kline,University of Michigan,Reed College,Economics,2007,32
John Letiche,University of Chicago,McGill University,Economics,0,33
Ulrike Melmendier,Harvard University,University of Bonn,Economics,2002,34
Daniel L. McFadden,University of Minnesota,University of Minnesota,Economics,1957,35
Oliver E. Williamson,Carnegie Mellon University,Massachusetts Institute of Technology,Economics,1963,36
Edward Miguel,Harvard University,Massachusetts Institute of Technology,Economics,2000,37
Conrad Miller,unknown,unknown,Economics,0,38
Enrico Moretti,UC Berkeley,Bocconi University,Economics,2000,39
John Morgan,Pennsylvania State University,University of Pennsylvania,Economics,1996,40
